create table scr_Acceso_Capitulo (
	ID_Acceso INT,
	ID_Usuario INT,
	ID_Comic INT,
	ID_Capitulo INT,
	Monedas_Usadas INT,
	Fecha_Acceso DATE
);
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (81, 93, 16, 19, 24, '27/12/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (89, 38, 35, 4, 41, '25/12/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (57, 6, 62, 58, 74, '24/09/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (80, 75, 26, 9, 19, '07/01/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (29, 7, 19, 59, 65, '21/08/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (50, 16, 9, 5, 16, '10/07/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (29, 37, 30, 86, 27, '13/03/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (48, 77, 61, 23, 1, '25/03/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (8, 24, 35, 23, 85, '04/09/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (65, 44, 50, 1, 96, '11/03/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (79, 88, 78, 59, 18, '11/06/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (34, 18, 95, 75, 13, '30/09/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (45, 26, 67, 96, 58, '02/10/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (100, 22, 42, 20, 78, '26/09/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (47, 47, 76, 96, 63, '28/09/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (5, 41, 83, 38, 99, '15/01/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (74, 30, 95, 63, 53, '19/10/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (11, 90, 68, 33, 47, '19/11/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (12, 98, 69, 48, 3, '27/04/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (92, 46, 81, 13, 10, '15/10/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (2, 30, 70, 46, 84, '29/07/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (85, 86, 47, 50, 41, '01/06/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (8, 81, 29, 30, 99, '25/02/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (74, 44, 32, 34, 67, '25/04/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (79, 88, 17, 43, 77, '27/09/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (20, 66, 97, 44, 53, '14/03/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (92, 21, 98, 4, 66, '09/02/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (46, 88, 25, 11, 66, '29/06/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (6, 90, 19, 43, 94, '08/10/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (53, 97, 94, 15, 60, '30/08/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (58, 9, 29, 47, 68, '04/09/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (56, 56, 5, 8, 12, '25/06/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (41, 34, 93, 58, 81, '20/05/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (74, 49, 68, 17, 86, '25/06/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (22, 4, 69, 23, 36, '29/10/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (61, 72, 40, 67, 1, '11/09/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (87, 62, 4, 79, 70, '13/08/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (61, 85, 2, 53, 51, '05/08/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (82, 20, 67, 46, 84, '08/12/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (18, 23, 92, 4, 14, '13/04/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (86, 4, 99, 11, 84, '20/07/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (20, 27, 16, 51, 56, '18/06/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (71, 23, 65, 95, 12, '06/11/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (98, 29, 80, 67, 16, '17/07/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (9, 7, 56, 90, 34, '13/04/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (99, 6, 64, 84, 35, '28/04/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (73, 58, 74, 56, 100, '22/02/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (85, 78, 37, 74, 61, '02/10/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (32, 71, 65, 58, 45, '25/03/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (67, 49, 62, 24, 12, '19/09/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (25, 47, 67, 28, 80, '05/07/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (4, 96, 99, 4, 16, '28/05/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (31, 12, 4, 18, 21, '29/11/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (97, 52, 43, 27, 46, '03/08/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (58, 46, 95, 49, 71, '24/01/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (64, 18, 66, 52, 62, '14/05/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (81, 54, 45, 53, 61, '30/10/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (2, 46, 5, 79, 11, '19/08/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (36, 83, 71, 95, 94, '07/07/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (72, 60, 34, 90, 48, '08/10/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (94, 49, 11, 79, 97, '24/10/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (15, 11, 27, 54, 42, '08/04/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (10, 42, 62, 13, 76, '19/07/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (53, 26, 24, 49, 74, '05/05/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (78, 80, 50, 23, 5, '03/03/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (21, 13, 98, 18, 99, '09/03/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (53, 30, 22, 9, 45, '26/07/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (31, 28, 88, 74, 68, '16/08/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (16, 9, 33, 40, 8, '13/09/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (45, 18, 14, 80, 12, '02/01/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (11, 70, 28, 4, 32, '16/10/2024');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (73, 77, 18, 60, 14, '06/04/2025');
insert into scr_Acceso_Capitulo (ID_Acceso, ID_Usuario, ID_Comic, ID_Capitulo, Monedas_Usadas, Fecha_Acceso) values (43, 73, 26, 95, 54, '25/11/2024');
