create table scr_Lectura (
	ID_Lectura INT,
	ID_Usuario INT,
	ID_Comic INT,
	ID_Capitulo INT,
	Tiempo_lectura INT,
	Fecha_subida DATE,
	Ultima_pagina_vista INT,
	Tiempo_ID_tiempo INT
);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (65, 14, 8, 97, 62, '08/04/2025', 60, 13);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (17, 84, 41, 71, 94, '06/05/2025', 96, 42);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (22, 88, 13, 87, 30, '26/07/2024', 45, 55);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (40, 79, 90, 13, 94, '26/02/2025', 83, 31);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (17, 84, 32, 52, 95, '05/03/2025', 29, 58);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (68, 4, 87, 10, 37, '29/12/2024', 26, 53);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (70, 30, 75, 1, 57, '25/09/2024', 22, 19);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (4, 34, 92, 66, 8, '15/03/2025', 71, 51);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (43, 66, 33, 52, 7, '23/05/2025', 87, 74);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (87, 49, 92, 38, 26, '11/10/2024', 79, 65);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (96, 9, 97, 94, 42, '05/02/2025', 75, 68);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (55, 69, 63, 6, 88, '20/07/2024', 34, 52);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (11, 88, 94, 53, 34, '29/07/2024', 82, 20);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (50, 66, 74, 57, 17, '24/06/2025', 18, 31);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (84, 71, 57, 34, 16, '01/01/2025', 94, 37);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (58, 15, 69, 44, 6, '09/01/2025', 62, 38);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (64, 79, 72, 19, 64, '24/06/2025', 44, 31);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (10, 47, 46, 48, 43, '06/04/2025', 97, 50);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (73, 64, 45, 14, 12, '03/08/2024', 92, 84);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (84, 34, 94, 26, 37, '15/07/2024', 6, 84);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (46, 44, 45, 19, 62, '29/08/2024', 75, 50);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (61, 5, 27, 48, 27, '15/07/2024', 100, 59);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (14, 35, 43, 60, 55, '22/10/2024', 95, 80);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (15, 2, 15, 21, 63, '12/03/2025', 8, 13);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (89, 32, 27, 74, 79, '23/08/2024', 48, 74);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (10, 98, 62, 88, 31, '20/10/2024', 11, 78);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (32, 38, 18, 6, 51, '13/04/2025', 5, 18);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (86, 49, 34, 87, 69, '27/07/2024', 28, 38);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (97, 29, 76, 7, 82, '15/08/2024', 82, 87);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (44, 48, 69, 50, 70, '15/11/2024', 75, 88);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (29, 49, 64, 45, 8, '22/08/2024', 35, 40);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (59, 10, 78, 63, 98, '08/08/2024', 42, 70);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (10, 59, 85, 23, 3, '24/02/2025', 21, 72);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (4, 11, 41, 79, 14, '15/06/2025', 38, 36);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (13, 97, 84, 32, 50, '15/05/2025', 27, 64);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (87, 78, 81, 81, 29, '29/03/2025', 69, 18);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (57, 46, 17, 95, 21, '29/11/2024', 8, 83);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (66, 51, 41, 63, 65, '13/04/2025', 7, 92);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (27, 22, 45, 62, 36, '07/03/2025', 93, 58);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (33, 85, 100, 8, 95, '23/06/2025', 100, 33);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (98, 25, 84, 42, 96, '16/01/2025', 81, 66);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (75, 83, 28, 25, 47, '11/01/2025', 28, 79);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (28, 12, 43, 78, 95, '17/07/2024', 27, 59);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (88, 69, 3, 30, 39, '26/03/2025', 87, 11);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (45, 41, 19, 82, 39, '02/07/2025', 32, 11);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (74, 85, 86, 78, 21, '21/01/2025', 15, 42);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (79, 5, 97, 56, 31, '07/05/2025', 45, 67);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (18, 97, 60, 51, 2, '18/06/2025', 34, 98);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (39, 76, 51, 49, 48, '23/02/2025', 22, 48);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (53, 95, 76, 41, 7, '23/11/2024', 52, 14);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (64, 38, 98, 73, 30, '10/03/2025', 53, 79);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (60, 75, 37, 69, 70, '14/05/2025', 65, 40);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (68, 86, 15, 76, 9, '30/01/2025', 86, 77);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (2, 77, 68, 14, 3, '06/09/2024', 86, 18);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (97, 14, 3, 64, 78, '02/06/2025', 73, 13);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (94, 26, 51, 26, 24, '10/01/2025', 47, 32);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (16, 75, 58, 43, 50, '18/08/2024', 26, 93);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (42, 80, 58, 32, 5, '24/05/2025', 13, 49);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (48, 77, 29, 90, 97, '25/08/2024', 37, 24);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (60, 78, 71, 79, 54, '03/10/2024', 95, 11);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (39, 70, 10, 94, 16, '11/02/2025', 49, 11);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (69, 47, 75, 65, 46, '23/04/2025', 72, 62);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (22, 80, 33, 16, 84, '24/06/2025', 28, 43);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (22, 25, 84, 38, 41, '31/05/2025', 72, 8);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (9, 32, 88, 47, 21, '12/10/2024', 14, 61);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (71, 59, 41, 69, 18, '23/10/2024', 70, 42);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (39, 37, 86, 34, 17, '16/07/2024', 68, 53);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (50, 88, 98, 4, 19, '24/01/2025', 69, 44);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (91, 16, 83, 19, 59, '04/09/2024', 92, 12);
insert into scr_Lectura (ID_Lectura, ID_Usuario, ID_Comic, ID_Capitulo, Tiempo_lectura, Fecha_subida, Ultima_pagina_vista, Tiempo_ID_tiempo) values (98, 21, 55, 74, 5, '05/03/2025', 15, 51);
