create table scr_Opciones_Pago (
	ID_Pago INT,
	ID_Usuario INT,
	Monedas_Compradas INT,
	Fecha_Compra DATE
);
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (26, 42, 27, '17/02/2025');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (69, 64, 32, '10/10/2024');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (81, 99, 11, '06/05/2025');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (59, 14, 5, '28/08/2024');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (41, 71, 77, '11/12/2024');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (27, 79, 21, '21/04/2025');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (38, 38, 41, '27/03/2025');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (80, 41, 32, '05/05/2025');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (89, 97, 10, '26/09/2024');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (88, 44, 50, '05/08/2024');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (95, 6, 9, '26/11/2024');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (45, 38, 45, '07/11/2024');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (33, 5, 38, '17/03/2025');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (40, 35, 75, '10/05/2025');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (92, 66, 80, '13/11/2024');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (13, 80, 11, '22/12/2024');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (55, 14, 13, '02/05/2025');
insert into scr_Opciones_Pago (ID_Pago, ID_Usuario, Monedas_Compradas, Fecha_Compra) values (31, 34, 25, '12/09/2024');
