create table scr_Usuario (
	ID_Usuario INT,
	Fecha_registro DATE,
	Preferencias VARCHAR(10)
);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (30, '04/24/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (25, '07/09/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (66, '01/23/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (27, '11/29/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (23, '10/23/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (70, '06/29/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (83, '12/09/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (19, '07/16/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (37, '06/12/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (10, '12/29/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (25, '05/01/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (15, '04/18/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (79, '04/24/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (18, '08/03/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (72, '09/29/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (60, '11/06/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (6, '09/20/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (50, '07/18/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (18, '12/01/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (1, '04/11/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (39, '05/10/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (98, '02/26/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (60, '02/08/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (63, '10/01/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (39, '02/15/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (86, '03/29/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (3, '06/10/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (8, '01/16/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (88, '09/20/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (11, '10/28/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (4, '09/16/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (14, '07/06/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (3, '08/10/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (26, '05/01/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (87, '05/11/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (73, '02/19/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (27, '04/05/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (9, '12/29/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (84, '09/21/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (91, '09/07/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (65, '10/24/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (81, '10/22/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (9, '01/28/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (70, '03/10/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (25, '01/22/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (55, '06/26/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (25, '09/15/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (13, '01/03/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (41, '01/03/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (3, '04/22/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (90, '02/20/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (28, '04/19/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (54, '01/22/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (92, '10/19/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (43, '09/26/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (91, '06/07/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (71, '05/17/2025', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (55, '07/26/2024', null);
insert into scr_Usuario (ID_Usuario, Fecha_registro, Preferencias) values (10, '04/12/2025', null);
